A,B,D,E,F,G,J,P,R,S,U,V,W,2,C,M,K,H,0
ESCORT,CORTINA,FOCUS,PUMA,FIESTA,GRANADA,FIESTA,TRANSIT CONNECT,KA,GALAXY,MAVERICK,TRANSIT,GALAXY,RS200,MONDEO,KUGA,FIESTA,FOCUS,RANGER
ORION,SIERRA,C-MAX,CAPRI,TRANSIT,SCORPIO,FUSION,TOURNEO,STREETKA,B - MAX,FIESTA,,S-MAX,RANGER,TOURNEO,,ECO SPORT,FIESTA,
,MONDEO,KUGA,FOCUS,,TOURNEO,COURIER,TRANSIT,KA COLLECTION,,B515,,,,TRANSIT,,PUMA,,
,C-MAX,GALAXY,C-MAX,,TRANSIT,B-MAX,,KA DESIGN,,, ,,,FOCUS,,KA+,,
,FOCUS,,KUGA,,,,,KA EDGE,,,,,,S-MAX,,,,
,,,,,,,,KA GRAND,,,,,,GALAXY,,,,
,,,,,,,,KA MILLENNIUM,,,,,,,,,,
,,,,,,,,KA STUDIO,,,,,,,,,,
,,,,,,,,KA TITANIUM,,,,,,,,,,
,,,,,,,,KA ZETEC,,,,,,,,,,
,,,,,,,,TRANSIT,,,,,,,,,,
